id,taxon,genus,species,infraspecific,source,price_eur,acquired_date,status,location,notes
178,Sarracenia flava var. rubricorpora 'Giant Red Tube',Sarracenia,flava,var. rubricorpora 'Giant Red Tube',Davide Tavecchio,See notes,Oct 2017,alive,,F112MK; from growlist
179,Sarracenia flava var. rubricorpora 'Burgundy',Sarracenia,flava,var. rubricorpora 'Burgundy',Davide Tavecchio,See notes,Oct 2017,lost,,F26MK; also from Klein Mar 2016; from growlist
181,Sarracenia alata 'Red Lid' × flava H17 MK,Sarracenia,alata,'Red Lid' × flava H17 MK,Alessandro Ferri,See notes,2016,given,,Striking red inner lids
182,Sarracenia alata var. nigropurpurea,Sarracenia,alata,var. nigropurpurea,Angelo Ossino,See notes,2017,given,,CK. A15AO
183,Sarracenia leucophylla (Titan × Self),Sarracenia,leucophylla (Titan × Self),,Angelo Ossino,See notes,2017,lost,,Plantev 2009; L11AO
184,Sarracenia × 'Snow White',Sarracenia,×,'Snow White',Angelo Ossino,See notes,2017,given,,H02AO
200,Sarracenia flava var. ornata 'Filiformis' (FO6),Sarracenia,flava,var. ornata 'Filiformis' (FO6),Stefano Polleschi,See notes,2019,alive,,"Aberrant form ex Valentina 'Altair' Bordin; very thin spring pitchers, vertical lid; unregistered cultivar; part of 33€ order"
236,Sarracenia × 'Llama',Sarracenia,×,'Llama',Roberto Restelli,See notes,Nov 2019,alive,,From growlist
237,Sarracenia × catesbaei,Sarracenia,× catesbaei,,Marco Oliosi,See notes,Nov 2016,given,,From growlist
238,Sarracenia × courtii,Sarracenia,× courtii,,Karnivores.com,See notes,Jan 2016,given,,From growlist
278,Sarracenia 'Waccamaw',Sarracenia,,'Waccamaw',eBay (secret_garden_carnivores),90,Jan 2026,alive,,Rare; +€5 shipping
279,Sarracenia × Saurus,Sarracenia,× Saurus,,eBay (semiraridalmondo),150,Jan 2026,alive,,L size rhizome; +€4.90 shipping
360,Sarracenia areolata L28MK × A28MK,Sarracenia,areolata L28MK × A28MK,,,,,alive,,
361,Sarracenia × alata AF,Sarracenia,× alata AF,,,,,alive,,⚠️ Incrocio illeggibile
362,Sarracenia leucophylla 'Big Bulbous Pink Pitchers',Sarracenia,leucophylla,'Big Bulbous Pink Pitchers',,,,alive,,
